date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:55	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202016%2004:21:55%20GMT	http://demo.bonefishcode.com/robots.txt		(from )
01:21:57	24457/24457	---M--	200	added ('OK')	text/html	etag:%2260206-5f89-52eae433fdfc0%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/index.html	(from )
01:21:57	3959/3959	---M--	200	added ('OK')	image/png	etag:%22601a9-f77-514f74cf2a000%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/apple-touch-icon.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/apple-touch-icon.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:21:58	766/766	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22601b2-2fe-514f74cf2a000%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/favicon.ico	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/favicon.ico	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:02	121260/121260	---M--	200	added ('OK')	text/css	etag:%2260194-1d9ac-525410e259800%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/bootstrap.min.css	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/bootstrap.min.css	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:02	41679/41679	---M--	200	added ('OK')	text/css	etag:%2260198-a2cf-52d595205bbc0%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/vendor.css	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/vendor.css	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:05	4535/4535	---M--	200	added ('OK')	text/css	etag:%2260196-11b7-52a0ace325d40%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/demo.css	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/demo.css	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:05	184/184	---M--	200	added ('OK')	text/css	etag:%2260195-b8-529d71bd1e040%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/custom.css	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/custom.css	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:05	204769/204769	---M--	200	added ('OK')	text/css	etag:%2260197-31fe1-52ead98e64140%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/style.css	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/css/style.css	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:07	2730/2730	---M--	200	added ('OK')	text/javascript	etag:%22601fa-aaa-51b5409d96c00%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/js/vendor/html5shiv.min.js	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/js/vendor/html5shiv.min.js	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:07	890/890	---M--	200	added ('OK')	image/png	etag:%22601b1-37a-5243bd2fcb340%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/ccard_toggle.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/ccard_toggle.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:08	4598/4598	---M--	200	added ('OK')	image/png	etag:%22601ec-11f6-529d2d43a1300%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/site-header-logo.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/site-header-logo.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:10	3334/3334	---M--	200	added ('OK')	image/png	etag:%22601d6-d06-529d032eecb00%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/rocket.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/rocket.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:10	1738/1738	---M--	200	added ('OK')	image/png	etag:%22601bb-6ca-529d013e0f6c0%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/crown.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/crown.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:11	55688/55688	---M--	200	added ('OK')	image/png	etag:%22601e9-d988-52a48a7931740%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/item/home.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/item/home.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:11	3314/3314	---M--	200	added ('OK')	image/png	etag:%22601bc-cf2-529d02d26b0c0%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/diamond.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/diamond.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:11	1439/1439	---M--	200	added ('OK')	image/png	etag:%22601b7-59f-529d0a2928140%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/chat.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/chat.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:12	2102/2102	---M--	200	added ('OK')	image/png	etag:%22601d2-836-529cfafdcb740%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/pencil.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/pencil.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
01:22:12	2502/2502	---M--	200	added ('OK')	image/png	etag:%22601d9-9c6-529cfa887e280%22	http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/skull.png	F:/SITES/LightShaft/demo.bonefishcode.com/flat-tech/demo/flat-color-bg/assets/img/icon/skull.png	(from http://demo.bonefishcode.com/flat-tech/demo/flat-color-bg/)
